DATE,TVEXPUKA
1286-01-01,21.3
1287-01-01,21.1
1288-01-01,23.8
1289-01-01,26.3
1290-01-01,28.0
1291-01-01,24.7
1292-01-01,21.7
1293-01-01,19.2
1294-01-01,16.9
1295-01-01,14.9
1296-01-01,13.3
1297-01-01,19.0
1298-01-01,23.4
1299-01-01,18.9
1300-01-01,28.2
1301-01-01,30.9
1302-01-01,15.0
1303-01-01,28.0
1304-01-01,29.0
1305-01-01,41.4
1306-01-01,37.0
1307-01-01,37.2
1308-01-01,32.9
1309-01-01,36.1
1310-01-01,31.2
1311-01-01,33.7
1312-01-01,34.5
1313-01-01,33.0
1314-01-01,17.2
1315-01-01,29.0
1316-01-01,18.7
1317-01-01,24.9
1318-01-01,24.5
1319-01-01,19.3
1320-01-01,28.1
1321-01-01,26.7
1322-01-01,16.4
1323-01-01,26.9
1324-01-01,20.5
1325-01-01,23.8
1326-01-01,16.8
1327-01-01,23.0
1328-01-01,17.4
1329-01-01,28.1
1330-01-01,26.2
1331-01-01,30.4
1332-01-01,33.1
1333-01-01,25.4
1334-01-01,30.9
1335-01-01,30.5
1336-01-01,16.3
1337-01-01,3.8
1338-01-01,17.4
1339-01-01,37.3
1340-01-01,17.8
1341-01-01,16.6
1342-01-01,20.4
1343-01-01,12.0
1344-01-01,13.5
1345-01-01,15.3
1346-01-01,17.3
1347-01-01,19.6
1348-01-01,22.2
1349-01-01,24.1
1350-01-01,27.0
1351-01-01,30.3
1352-01-01,19.8
1353-01-01,14.4
1354-01-01,38.8
1355-01-01,28.4
1356-01-01,25.0
1357-01-01,35.0
1358-01-01,31.8
1359-01-01,28.4
1360-01-01,31.9
1361-01-01,25.1
1362-01-01,39.1
1363-01-01,28.0
1364-01-01,19.0
1365-01-01,32.7
1366-01-01,30.9
1367-01-01,30.6
1368-01-01,23.3
1369-01-01,27.6
1370-01-01,18.6
1371-01-01,27.7
1372-01-01,24.4
1373-01-01,25.1
1374-01-01,22.9
1375-01-01,26.2
1376-01-01,20.6
1377-01-01,14.9
1378-01-01,28.0
1379-01-01,16.7
1380-01-01,19.6
1381-01-01,19.4
1382-01-01,20.2
1383-01-01,16.0
1384-01-01,25.1
1385-01-01,20.2
1386-01-01,19.8
1387-01-01,23.3
1388-01-01,19.6
1389-01-01,18.9
1390-01-01,29.1
1391-01-01,17.6
1392-01-01,19.5
1393-01-01,23.7
1394-01-01,22.0
1395-01-01,23.1
1396-01-01,23.0
1397-01-01,20.5
1398-01-01,21.2
1399-01-01,21.6
1400-01-01,19.4
1401-01-01,18.7
1402-01-01,24.2
1403-01-01,16.2
1404-01-01,20.0
1405-01-01,15.6
1406-01-01,23.3
1407-01-01,19.7
1408-01-01,20.4
1409-01-01,25.0
1410-01-01,22.2
1411-01-01,17.6
1412-01-01,16.7
1413-01-01,23.9
1414-01-01,19.0
1415-01-01,22.2
1416-01-01,19.7
1417-01-01,20.7
1418-01-01,22.3
1419-01-01,21.8
1420-01-01,19.0
1421-01-01,19.3
1422-01-01,20.9
1423-01-01,30.5
1424-01-01,26.6
1425-01-01,26.0
1426-01-01,23.6
1427-01-01,25.6
1428-01-01,26.1
1429-01-01,24.4
1430-01-01,19.5
1431-01-01,23.1
1432-01-01,20.3
1433-01-01,19.6
1434-01-01,15.0
1435-01-01,23.1
1436-01-01,11.2
1437-01-01,14.0
1438-01-01,19.1
1439-01-01,17.8
1440-01-01,34.0
1441-01-01,24.0
1442-01-01,20.2
1443-01-01,29.6
1444-01-01,27.6
1445-01-01,20.2
1446-01-01,29.2
1447-01-01,18.8
1448-01-01,20.1
1449-01-01,12.7
1450-01-01,23.9
1451-01-01,18.6
1452-01-01,17.9
1453-01-01,19.6
1454-01-01,13.8
1455-01-01,19.8
1456-01-01,19.9
1457-01-01,13.0
1458-01-01,20.7
1459-01-01,18.4
1460-01-01,10.0
1461-01-01,17.1
1462-01-01,15.0
1463-01-01,12.6
1464-01-01,18.0
1465-01-01,11.1
1466-01-01,17.3
1467-01-01,21.4
1468-01-01,20.1
1469-01-01,21.6
1470-01-01,16.9
1471-01-01,9.9
1472-01-01,21.0
1473-01-01,17.2
1474-01-01,22.0
1475-01-01,17.2
1476-01-01,22.4
1477-01-01,16.9
1478-01-01,19.5
1479-01-01,29.9
1480-01-01,25.0
1481-01-01,29.6
1482-01-01,28.5
1483-01-01,14.9
1484-01-01,21.4
1485-01-01,19.6
1486-01-01,25.6
1487-01-01,18.4
1488-01-01,23.3
1489-01-01,25.0
1490-01-01,27.1
1491-01-01,20.5
1492-01-01,20.6
1493-01-01,23.1
1494-01-01,25.3
1495-01-01,16.3
1496-01-01,16.8
1497-01-01,25.2
1498-01-01,27.7
1499-01-01,22.4
1500-01-01,27.6
1501-01-01,32.0
1502-01-01,35.0
1503-01-01,31.0
1504-01-01,28.6
1505-01-01,27.7
1506-01-01,28.4
1507-01-01,32.1
1508-01-01,36.6
1509-01-01,34.9
1510-01-01,30.9
1511-01-01,33.8
1512-01-01,28.5
1513-01-01,31.1
1514-01-01,35.7
1515-01-01,34.0
1516-01-01,31.9
1517-01-01,33.3
1518-01-01,34.3
1519-01-01,37.1
1520-01-01,38.8
1521-01-01,30.2
1522-01-01,23.1
1523-01-01,31.1
1524-01-01,32.1
1525-01-01,33.0
1526-01-01,32.5
1527-01-01,34.2
1528-01-01,35.5
1529-01-01,32.3
1530-01-01,32.1
1531-01-01,29.4
1532-01-01,28.1
1533-01-01,33.0
1534-01-01,37.5
1535-01-01,31.8
1536-01-01,37.8
1537-01-01,35.0
1538-01-01,34.9
1539-01-01,39.2
1540-01-01,40.7
1541-01-01,44.8
1542-01-01,39.6
1543-01-01,31.0
1544-01-01,32.2
1545-01-01,34.2
1546-01-01,37.1
1547-01-01,40.7
1548-01-01,41.2
1549-01-01,41.7
1550-01-01,42.2
1551-01-01,36.0
1552-01-01,27.2
1553-01-01,28.6
1554-01-01,30.0
1555-01-01,31.5
1556-01-01,33.1
1557-01-01,34.8
1558-01-01,36.5
1559-01-01,38.4
1560-01-01,30.1
1561-01-01,24.1
1562-01-01,20.6
1563-01-01,19.5
1564-01-01,20.9
1565-01-01,44.9
1566-01-01,23.5
1567-01-01,27.4
1568-01-01,32.8
1569-01-01,32.0
1570-01-01,30.5
1571-01-01,24.9
1572-01-01,24.5
1573-01-01,25.8
1574-01-01,32.9
1575-01-01,35.0
1576-01-01,36.0
1577-01-01,34.2
1578-01-01,34.1
1579-01-01,34.2
1580-01-01,34.3
1581-01-01,34.5
1582-01-01,34.9
1583-01-01,36.0
1584-01-01,36.2
1585-01-01,35.9
1586-01-01,34.3
1587-01-01,34.1
1588-01-01,34.2
1589-01-01,35.3
1590-01-01,35.9
1591-01-01,36.4
1592-01-01,36.8
1593-01-01,37.3
1594-01-01,37.7
1595-01-01,37.8
1596-01-01,38.0
1597-01-01,38.1
1598-01-01,38.3
1599-01-01,38.4
1600-01-01,38.7
1601-01-01,39.1
1602-01-01,44.5
1603-01-01,36.0
1604-01-01,43.6
1605-01-01,46.5
1606-01-01,49.7
1607-01-01,50.8
1608-01-01,51.9
1609-01-01,53.2
1610-01-01,54.7
1611-01-01,56.3
1612-01-01,58.1
1613-01-01,58.5
1614-01-01,59.0
1615-01-01,52.2
1616-01-01,46.7
1617-01-01,49.5
1618-01-01,52.6
1619-01-01,50.3
1620-01-01,48.1
1621-01-01,47.0
1622-01-01,45.9
1623-01-01,47.5
1624-01-01,49.2
1625-01-01,50.9
1626-01-01,52.7
1627-01-01,51.8
1628-01-01,59.5
1629-01-01,57.2
1630-01-01,55.2
1631-01-01,53.4
1632-01-01,58.9
1633-01-01,53.5
1634-01-01,54.5
1635-01-01,54.8
1636-01-01,55.1
1637-01-01,55.4
1638-01-01,55.7
1639-01-01,56.0
1640-01-01,57.3
1641-01-01,52.1
1642-01-01,47.5
1643-01-01,43.5
1644-01-01,39.9
1645-01-01,40.1
1646-01-01,40.3
1647-01-01,40.6
1648-01-01,40.8
1649-01-01,45.4
1650-01-01,50.7
1651-01-01,52.0
1652-01-01,53.4
1653-01-01,54.9
1654-01-01,56.4
1655-01-01,57.9
1656-01-01,59.5
1657-01-01,61.1
1658-01-01,62.7
1659-01-01,64.5
1660-01-01,66.2
1661-01-01,68.0
1662-01-01,69.9
1663-01-01,71.8
1664-01-01,73.8
1665-01-01,75.8
1666-01-01,77.9
1667-01-01,79.2
1668-01-01,74.5
1669-01-01,76.0
1670-01-01,75.4
1671-01-01,72.6
1672-01-01,73.1
1673-01-01,76.2
1674-01-01,74.0
1675-01-01,77.3
1676-01-01,90.1
1677-01-01,87.0
1678-01-01,90.2
1679-01-01,85.3
1680-01-01,94.5
1681-01-01,87.5
1682-01-01,90.6
1683-01-01,97.4
1684-01-01,83.9
1685-01-01,93.0
1686-01-01,89.3
1687-01-01,94.7
1688-01-01,103.0
1689-01-01,103.0
1690-01-01,109.0
1691-01-01,111.0
1692-01-01,119.0
1693-01-01,104.0
1694-01-01,119.0
1695-01-01,116.0
1696-01-01,112.0
1697-01-01,112
1698-01-01,171
1699-01-01,172
1700-01-01,192
1701-01-01,206
1702-01-01,141
1703-01-01,182
1704-01-01,182
1705-01-01,183
1706-01-01,184
1707-01-01,190
1708-01-01,194
1709-01-01,195
1710-01-01,193
1711-01-01,197
1712-01-01,211
1713-01-01,227
1714-01-01,264
1715-01-01,228
1716-01-01,232
1717-01-01,264
1718-01-01,210
1719-01-01,225
1720-01-01,228
1721-01-01,237
1722-01-01,272
1723-01-01,244
1724-01-01,251
1725-01-01,280
1726-01-01,254
1727-01-01,240
1728-01-01,287
1729-01-01,272
1730-01-01,282
1731-01-01,259
1732-01-01,292
1733-01-01,291
1734-01-01,274
1735-01-01,308
1736-01-01,320
1737-01-01,332
1738-01-01,336
1739-01-01,292
1740-01-01,270
1741-01-01,315
1742-01-01,316
1743-01-01,373
1744-01-01,303
1745-01-01,299
1746-01-01,355
1747-01-01,322
1748-01-01,367
1749-01-01,418
1750-01-01,419
1751-01-01,409
1752-01-01,386
1753-01-01,404
1754-01-01,389
1755-01-01,365
1756-01-01,386
1757-01-01,407
1758-01-01,416
1759-01-01,460
1760-01-01,484
1761-01-01,490
1762-01-01,453
1763-01-01,484
1764-01-01,536
1765-01-01,480
1766-01-01,464
1767-01-01,457
1768-01-01,498
1769-01-01,443
1770-01-01,470
1771-01-01,564
1772-01-01,533
1773-01-01,503
1774-01-01,531
1775-01-01,511
1776-01-01,463
1777-01-01,418
1778-01-01,385
1779-01-01,356
1780-01-01,407
1781-01-01,325
1782-01-01,388
1783-01-01,436
1784-01-01,458
1785-01-01,488
1786-01-01,506
1787-01-01,524
1788-01-01,532
1789-01-01,590
1790-01-01,609
1791-01-01,689
1792-01-01,746
1793-01-01,573
1794-01-01,734
1795-01-01,717
1796-01-01,874
1797-01-01,872
1798-01-01,940
1799-01-01,930
1800-01-01,1028
1801-01-01,1014
1802-01-01,1166
1803-01-01,922
1804-01-01,956
1805-01-01,924
1806-01-01,1001
1807-01-01,992
1808-01-01,1000
1809-01-01,1359
1810-01-01,1310
1811-01-01,908
1812-01-01,1204
1813-01-01,1612
1814-01-01,1565
1815-01-01,1791
1816-01-01,1541
1817-01-01,1543
1818-01-01,1702
1819-01-01,1415
1820-01-01,1533
1821-01-01,1621
1822-01-01,1655
1823-01-01,1642
1824-01-01,1818
1825-01-01,1709
1826-01-01,1648
1827-01-01,1920
1828-01-01,1954
1829-01-01,2103
1830-01-01,2096
1831-01-01,2191
1832-01-01,2361
1833-01-01,2408
1834-01-01,2537
1835-01-01,2781
1836-01-01,2910
1837-01-01,2646
1838-01-01,3127
1839-01-01,3243
1840-01-01,3412
1841-01-01,3561
1842-01-01,3473
1843-01-01,3853
1844-01-01,4172
1845-01-01,4246
1846-01-01,4165
1847-01-01,4335
1848-01-01,4253
1849-01-01,5495
1850-01-01,5841
1851-01-01,6187
1852-01-01,6505
1853-01-01,7489
1854-01-01,7448
1855-01-01,7618
1856-01-01,8758
1857-01-01,8852
1858-01-01,8805
1859-01-01,9612
1860-01-01,10168
1861-01-01,9829
1862-01-01,9354
1863-01-01,10060
1864-01-01,10053
1865-01-01,10962
1866-01-01,11783
1867-01-01,11973
1868-01-01,12855
1869-01-01,13445
1870-01-01,14320
1871-01-01,16609
1872-01-01,16805
1873-01-01,16216
1874-01-01,16412
1875-01-01,16478
1876-01-01,16412
1877-01-01,16805
1878-01-01,17066
1879-01-01,18178
1880-01-01,20009
1881-01-01,21447
1882-01-01,21840
1883-01-01,22624
1884-01-01,22494
1885-01-01,21643
1886-01-01,22232
1887-01-01,23474
1888-01-01,24913
1889-01-01,26025
1890-01-01,25959
1891-01-01,24717
1892-01-01,24521
1893-01-01,23147
1894-01-01,24324
1895-01-01,26090
1896-01-01,27201
1897-01-01,27332
1898-01-01,27398
1899-01-01,28705
1900-01-01,27528
1901-01-01,28248
1902-01-01,29425
1903-01-01,30602
1904-01-01,31125
1905-01-01,33871
1906-01-01,36094
1907-01-01,38383
1908-01-01,35571
1909-01-01,37598
1910-01-01,40410
1911-01-01,41456
1912-01-01,43745
1913-01-01,45183
1914-01-01,37478
1915-01-01,31104
1916-01-01,35905
1917-01-01,25617
1918-01-01,20010
1919-01-01,29369
1920-01-01,31507
1921-01-01,25011
1922-01-01,31546
1923-01-01,34619
1924-01-01,35786
1925-01-01,35553
1926-01-01,32674
1927-01-01,36797
1928-01-01,37031
1929-01-01,38275
1930-01-01,32908
1931-01-01,26528
1932-01-01,25945
1933-01-01,26373
1934-01-01,27384
1935-01-01,30885
1936-01-01,30029
1937-01-01,31546
1938-01-01,29407
1939-01-01,27306
1940-01-01,18515
1941-01-01,15909
1942-01-01,14392
1943-01-01,15870
1944-01-01,20071
1945-01-01,16415
1946-01-01,27579
1947-01-01,27617
1948-01-01,33647
1949-01-01,37332
1950-01-01,42641
1951-01-01,42213
1952-01-01,41366
1953-01-01,43098
1954-01-01,45524
1955-01-01,48665
1956-01-01,50907
1957-01-01,52247
1958-01-01,51463
1959-01-01,52877
1960-01-01,55896
1961-01-01,57686
1962-01-01,58669
1963-01-01,61538
1964-01-01,63565
1965-01-01,66338
1966-01-01,69779
1967-01-01,70157
1968-01-01,78768
1969-01-01,86478
1970-01-01,91071
1971-01-01,97592
1972-01-01,98855
1973-01-01,111241
1974-01-01,119667
1975-01-01,116461
1976-01-01,127193
1977-01-01,135904
1978-01-01,138450
1979-01-01,143660
1980-01-01,143304
1981-01-01,142559
1982-01-01,144249
1983-01-01,147173
1984-01-01,157232
1985-01-01,166397
1986-01-01,173338
1987-01-01,184543
1988-01-01,186710
1989-01-01,196093
1990-01-01,207133
1991-01-01,207682
1992-01-01,216556
1993-01-01,226286
1994-01-01,247265
1995-01-01,270744
1996-01-01,290776
1997-01-01,313626
1998-01-01,323973
1999-01-01,330714
2000-01-01,361425
2001-01-01,363181
2002-01-01,365913
2003-01-01,385720
2004-01-01,407921
2005-01-01,430378
2006-01-01,471697
2007-01-01,489880
2008-01-01,495451
2009-01-01,452338
2010-01-01,478555
2011-01-01,506505
2012-01-01,509954
2013-01-01,515827
2014-01-01,524340
2015-01-01,556220
2016-01-01,566242
