Year,real.consumption.earnings
1209,51.79
1210,44.65
1211,34.86
1212,49.35
1213,57.28
1214,66.49
1215,57.33
1216,49.44
1217,41.18
1218,30.69
1219,39.33
1220,36.28
1221,33.73
1222,43.05
1223,54.95
1224,50.33
1225,30.29
1226,33.48
1227,29.86
1228,30.52
1229,31.19
1230,31.88
1231,32.58
1232,33.30
1233,38.05
1234,37.14
1235,36.26
1236,37.06
1237,34.06
1238,35.25
1239,36.49
1240,37.76
1241,39.09
1242,40.45
1243,41.87
1244,43.33
1245,44.85
1246,35.72
1247,29.33
1248,29.56
1249,38.89
1250,34.03
1251,42.87
1252,36.42
1253,33.38
1254,42.32
1255,46.42
1256,36.73
1257,31.14
1258,28.88
1259,33.84
1260,38.07
1261,34.52
1262,39.98
1263,39.89
1264,33.55
1265,33.70
1266,31.93
1267,29.27
1268,37.81
1269,29.57
1270,28.87
1271,23.04
1272,18.60
1273,25.65
1274,23.42
1275,23.26
1276,27.04
1277,23.28
1278,27.21
1279,30.14
1280,29.20
1281,27.69
1282,25.45
1283,26.07
1284,27.31
1285,30.70
1286,26.32
1287,31.65
1288,37.13
1289,35.21
1290,30.38
1291,26.03
1292,27.65
1293,26.91
1294,24.00
1295,22.64
1296,23.21
1297,26.36
1298,24.18
1299,25.43
1300,26.53
1301,27.72
1302,28.28
1303,29.92
1304,33.56
1305,27.97
1306,26.73
1307,28.01
1308,25.09
1309,22.14
1310,22.60
1311,20.78
1312,26.51
1313,27.58
1314,25.56
1315,23.65
1316,17.34
1317,18.59
1318,23.92
1319,31.40
1320,29.91
1321,26.89
1322,20.82
1323,21.83
1324,27.02
1325,25.02
1326,28.76
1327,33.20
1328,31.97
1329,27.46
1330,28.08
1331,25.51
1332,26.08
1333,31.13
1334,31.99
1335,33.45
1336,32.40
1337,34.87
1338,36.86
1339,40.72
1340,29.25
1341,34.62
1342,33.07
1343,34.41
1344,30.54
1345,34.67
1346,32.57
1347,26.42
1348,25.89
1349,36.25
1350,51.89
1351,44.63
1352,35.73
1353,42.95
1354,47.01
1355,44.04
1356,44.23
1357,42.16
1358,38.39
1359,42.37
1360,42.90
1361,43.26
1362,47.86
1363,41.67
1364,40.53
1365,46.02
1366,49.93
1367,48.05
1368,44.09
1369,43.87
1370,31.50
1371,43.35
1372,49.98
1373,45.10
1374,51.63
1375,44.66
1376,44.92
1377,55.59
1378,60.11
1379,62.41
1380,51.22
1381,53.52
1382,55.79
1383,56.56
1384,55.97
1385,59.37
1386,55.80
1387,59.24
1388,64.57
1389,67.18
1390,50.92
1391,45.36
1392,48.83
1393,62.87
1394,58.95
1395,60.42
1396,60.39
1397,51.58
1398,50.91
1399,58.76
1400,56.23
1401,53.60
1402,48.48
1403,54.78
1404,63.40
1405,62.03
1406,66.85
1407,63.12
1408,56.66
1409,52.88
1410,49.12
1411,57.00
1412,61.73
1413,60.32
1414,64.39
1415,63.82
1416,54.83
1417,50.44
1418,57.53
1419,57.05
1420,59.00
1421,58.52
1422,61.88
1423,64.83
1424,67.91
1425,62.82
1426,65.59
1427,68.49
1428,69.58
1429,53.96
1430,55.57
1431,60.25
1432,69.56
1433,57.71
1434,63.78
1435,67.21
1436,61.03
1437,62.31
1438,52.46
1439,47.60
1440,57.06
1441,76.02
1442,72.24
1443,70.55
1444,74.20
1445,75.84
1446,66.18
1447,63.88
1448,70.03
1449,67.16
1450,70.51
1451,72.38
1452,67.38
1453,66.93
1454,70.81
1455,70.58
1456,68.50
1457,68.82
1458,63.50
1459,67.50
1460,64.64
1461,57.93
1462,57.96
1463,69.12
1464,78.11
1465,72.58
1466,65.26
1467,62.00
1468,61.01
1469,61.73
1470,60.54
1471,56.05
1472,69.27
1473,67.35
1474,70.21
1475,69.95
1476,65.97
1477,70.11
1478,57.46
1479,55.27
1480,59.88
1481,60.00
1482,52.67
1483,56.61
1484,55.37
1485,64.80
1486,65.27
1487,65.94
1488,54.83
1489,56.53
1490,52.55
1491,48.39
1492,73.32
1493,72.46
1494,66.90
1495,67.33
1496,74.18
1497,55.65
1498,63.39
1499,67.18
1500,61.95
1501,54.68
1502,51.98
1503,60.02
1504,55.07
1505,56.98
1506,63.15
1507,61.83
1508,59.29
1509,71.36
1510,70.79
1511,67.56
1512,60.05
1513,46.41
1514,57.64
1515,55.12
1516,57.30
1517,59.61
1518,56.85
1519,58.15
1520,55.94
1521,48.42
1522,53.94
1523,55.11
1524,59.17
1525,54.12
1526,55.48
1527,48.26
1528,36.40
1529,43.91
1530,51.53
1531,47.10
1532,42.09
1533,47.55
1534,58.96
1535,40.12
1536,34.47
1537,50.70
1538,51.89
1539,51.49
1540,55.92
1541,53.29
1542,54.40
1543,49.57
1544,46.96
1545,37.55
1546,36.44
1547,54.56
1548,53.83
1549,44.89
1550,42.97
1551,36.09
1552,44.29
1553,47.32
1554,48.71
1555,40.48
1556,34.25
1557,35.16
1558,45.76
1559,35.83
1560,45.91
1561,44.70
1562,44.28
1563,41.26
1564,41.45
1565,49.04
1566,49.14
1567,50.49
1568,48.08
1569,46.99
1570,53.10
1571,47.62
1572,43.30
1573,50.23
1574,39.70
1575,46.60
1576,40.65
1577,39.44
1578,42.10
1579,44.41
1580,44.10
1581,40.68
1582,42.02
1583,42.38
1584,43.49
1585,39.77
1586,34.91
1587,38.23
1588,43.71
1589,38.67
1590,36.82
1591,34.60
1592,40.54
1593,40.74
1594,35.49
1595,32.92
1596,30.78
1597,25.64
1598,29.59
1599,30.55
1600,35.09
1601,34.26
1602,34.01
1603,37.62
1604,38.30
1605,35.92
1606,36.86
1607,37.47
1608,31.10
1609,27.87
1610,35.71
1611,35.40
1612,32.35
1613,28.73
1614,32.25
1615,30.00
1616,31.33
1617,31.56
1618,31.25
1619,35.15
1620,36.61
1621,34.04
1622,29.10
1623,31.40
1624,31.31
1625,31.90
1626,33.22
1627,35.02
1628,37.26
1629,35.60
1630,29.03
1631,28.56
1632,30.01
1633,31.89
1634,30.68
1635,31.13
1636,32.49
1637,29.29
1638,29.31
1639,33.32
1640,35.65
1641,33.61
1642,35.65
1643,34.03
1644,34.35
1645,33.78
1646,32.63
1647,29.73
1648,26.28
1649,26.13
1650,28.73
1651,31.28
1652,31.81
1653,36.34
1654,42.50
1655,42.09
1656,43.95
1657,34.46
1658,34.92
1659,30.59
1660,33.11
1661,29.26
1662,29.55
1663,33.22
1664,39.26
1665,31.74
1666,36.87
1667,36.91
1668,35.98
1669,35.68
1670,36.95
1671,36.81
1672,38.03
1673,38.87
1674,35.09
1675,34.38
1676,36.29
1677,36.90
1678,37.32
1679,33.58
1680,36.07
1681,38.76
1682,37.22
1683,38.55
1684,38.03
1685,37.43
1686,40.13
1687,39.54
1688,40.98
1689,45.41
1690,41.79
1691,40.70
1692,41.59
1693,38.44
1694,36.71
1695,34.89
1696,34.62
1697,32.35
1698,31.54
1699,30.77
1700,35.44
1701,41.31
1702,43.11
1703,45.33
1704,42.90
1705,47.09
1706,41.99
1707,48.17
1708,47.08
1709,37.09
1710,32.94
1711,30.87
1712,41.45
1713,43.29
1714,41.83
1715,42.31
1716,43.87
1717,46.61
1718,47.38
1719,44.08
1720,43.25
1721,43.03
1722,44.95
1723,50.48
1724,45.23
1725,42.52
1726,41.83
1727,44.12
1728,42.87
1729,41.25
1730,48.16
1731,52.04
1732,51.20
1733,54.95
1734,51.37
1735,51.46
1736,53.46
1737,49.60
1738,50.47
1739,51.32
1740,43.65
1741,41.68
1742,45.80
1743,48.94
1744,55.54
1745,54.35
1746,50.14
1747,50.77
1748,49.28
1749,47.73
1750,48.62
1751,47.37
1752,44.52
1753,45.06
1754,45.62
1755,47.99
1756,44.52
1757,32.68
1758,34.64
1759,42.47
1760,44.75
1761,45.31
1762,43.65
1763,48.11
1764,42.67
1765,40.47
1766,40.47
1767,35.05
1768,39.20
1769,45.45
1770,43.60
1771,41.59
1772,40.02
1773,39.87
1774,40.63
1775,40.95
1776,43.74
1777,42.99
1778,42.95
1779,45.46
1780,45.49
1781,42.96
1782,42.55
1783,41.68
1784,43.22
1785,45.25
1786,46.13
1787,45.59
1788,45.74
1789,46.50
1790,45.05
1791,46.37
1792,48.46
1793,47.83
1794,48.46
1795,44.89
1796,45.84
1797,51.77
1798,52.80
1799,45.77
1800,37.23
1801,39.43
1802,50.08
1803,51.72
1804,50.61
1805,48.09
1806,50.47
1807,51.14
1808,48.71
1809,45.73
1810,46.22
1811,45.60
1812,42.00
1813,41.69
1814,45.74
1815,51.10
1816,45.97
1817,44.84
1818,44.94
1819,46.52
1820,48.64
1821,49.86
1822,53.16
1823,50.57
1824,49.01
1825,47.23
1826,49.31
1827,50.65
1828,50.10
1829,48.96
1830,50.11
1831,49.77
1832,51.76
1833,53.88
1834,55.38
1835,56.91
1836,53.02
1837,52.01
1838,50.91
1839,50.05
1840,50.81
1841,51.75
1842,54.55
1843,58.47
1844,56.89
1845,57.30
1846,53.30
1847,51.01
1848,57.09
1849,58.47
1850,60.78
1851,62.08
1852,62.06
1853,56.99
1854,55.82
1855,56.08
1856,56.69
1857,57.50
1858,62.12
1859,62.07
1860,59.19
1861,59.23
1862,60.05
1863,62.42
1864,63.91
1865,64.66
1866,62.97
1867,60.36
1868,61.77
1869,65.49
1870,66.32
1871,66.57
1872,67.34
1873,70.31
1874,73.36
1875,74.01
1876,74.07
1877,74.12
1878,75.26
1879,77.38
1880,76.21
1881,77.87
1882,78.53
1883,78.91
1884,81.33
1885,83.32
1886,83.35
1887,85.49
1888,86.83
1889,87.91
1890,90.71
1891,91.22
1892,91.17
1893,92.63
1894,95.70
1895,97.03
1896,98.45
1897,98.01
1898,98.10
1899,100.84
1900,100.00
1901,101.34
1902,101.34
1903,100.54
1904,100.94
1905,101.15
1906,102.48
1907,103.10
1908,102.50
1909,102.30
1910,101.06
1911,102.23
1912,101.61
1913,104.22
1914,102.65
1915,105.70
1916,101.74
1917,103.87
1918,105.67
1919,109.63
1920,109.58
1921,112.13
1922,104.81
1923,102.96
1924,105.30
1925,106.05
1926,104.21
1927,108.99
1928,107.65
1929,109.19
1930,111.18
1931,113.77
1932,114.33
1933,116.15
1934,117.42
1935,118.48
1936,120.77
1937,119.81
1938,122.66
1939,120.47
1940,132.76
1941,130.95
1942,137.66
1943,146.41
1944,144.91
1945,140.20
1946,141.52
1947,142.28
1948,143.97
1949,145.98
1950,147.08
1951,148.08
1952,144.78
1953,148.11
1954,154.18
1955,159.25
1956,163.75
1957,166.28
1958,167.20
1959,170.74
1960,179.20
1961,185.71
1962,184.43
1963,188.30
1964,197.95
1965,202.70
1966,207.42
1967,210.50
1968,219.51
1969,224.74
1970,237.75
1971,243.36
1972,255.69
1973,267.72
1974,275.10
1975,289.13
1976,291.23
1977,278.62
1978,293.64
1979,307.77
1980,324.66
1981,330.38
1982,335.22
1983,347.15
1984,353.74
1985,367.17
1986,383.60
1987,401.12
1988,422.14
1989,439.57
1990,454.30
1991,455.35
1992,462.92
1993,465.07
1994,473.24
1995,476.04
1996,481.75
1997,494.00
1998,511.74
1999,528.14
2000,546.01
2001,567.09
2002,577.79
2003,588.36
2004,605.86
2005,621.37
2006,635.76
2007,651.62
2008,651.33
2009,637.04
2010,630.91
2011,618.10
2012,609.34
2013,601.08
2014,599.71
2015,614.05
2016,624.50